filingDate,year,form,accessionNumber,DocumentName,is10K
2022-07-29,2022,10-Q,0000320193-22-000070,aapl-20220625.htm,0
2022-07-28,2022,8-K,0000320193-22-000069,aapl-20220728.htm,0
2022-05-13,2022,4,0000320193-22-000063,xslF345X03/wf-form4_165248105838188.xml,0
2022-05-06,2022,4,0000320193-22-000061,xslF345X03/wf-form4_165187623819106.xml,0
2022-04-29,2022,S-8,0001193125-22-128368,d332661ds8.htm,0
2022-04-29,2022,S-8 POS,0001193125-22-128361,d279200ds8pos.htm,0
2022-04-29,2022,S-8 POS,0001193125-22-128354,d279200ds8pos.htm,0
2022-04-29,2022,10-Q,0000320193-22-000059,aapl-20220326.htm,0
2022-04-28,2022,8-K,0000320193-22-000058,aapl-20220428.htm,0
2022-04-19,2022,4,0000320193-22-000053,xslF345X03/wf-form4_165040749395911.xml,0
2022-04-19,2022,4,0000320193-22-000052,xslF345X03/wf-form4_165040742689204.xml,0
2022-04-05,2022,4,0000320193-22-000049,xslF345X03/wf-form4_164919799612317.xml,0
2022-04-05,2022,4,0000320193-22-000048,xslF345X03/wf-form4_164919793500496.xml,0
2022-04-05,2022,4,0000320193-22-000047,xslF345X03/wf-form4_164919788707106.xml,0
2022-04-05,2022,4,0000320193-22-000046,xslF345X03/wf-form4_164919783103450.xml,0
2022-03-08,2022,4,0000320193-22-000041,xslF345X03/wf-form4_164678264350913.xml,0
2022-03-08,2022,4,0000320193-22-000040,xslF345X03/wf-form4_164678259356672.xml,0
2022-03-08,2022,4,0000320193-22-000039,xslF345X03/wf-form4_164678253465583.xml,0
2022-03-08,2022,4,0000320193-22-000038,xslF345X03/wf-form4_164678248157775.xml,0
2022-03-08,2022,4,0000320193-22-000037,xslF345X03/wf-form4_164678242279764.xml,0
2022-03-08,2022,4,0000320193-22-000036,xslF345X03/wf-form4_164678236531567.xml,0
2022-03-08,2022,4,0000320193-22-000035,xslF345X03/wf-form4_164678229722183.xml,0
2022-03-08,2022,4,0000320193-22-000034,xslF345X03/wf-form4_164678223741209.xml,0
